sample,field_season,collection_date,species,plot,sex,weight-grams,scale_calibration_status
1,2013,2013-07-16,dm,2,f,null,null
2,2013,2013-07-16,dm,7,m,33,y
3,2013,2013-07-16,dm,3,m,null,null
4,2013,2013-07-16,dm,1,m,null,null
5,2013,2013-07-18,dm,3,m,40,y
6,2013,2013-07-18,dm,7,m,48,y
7,2013,2013-07-18,dm,4,f,29,y
8,2013,2013-07-18,dm,6,f,37,y
9,2013,2013-08-19,do,8,f,52,y
10,2013,2013-10-17,do,3,f,33,y
11,2013,2013-10-17,do,3,f,50,y
12,2013,2013-12-10,do,9,f,40,y
13,2013,2013-12-10,do,1,m,45,y
14,2013,2013-12-11,do,8,f,41,y
15,2013,2013-11-12,ds,9,f,117,y
16,2013,2013-11-13,ds,11,f,126,y
17,2013,2013-11-13,ds,17,m,132,n
18,2013,2013-11-13,ds,14,f,113,n
19,2013,2013-11-13,ds,11,f,122,y
20,2013,2013-11-13,ds,4,f,107,y
21,2013,2013-11-13,ds,4,f,115,y
22,2014,2014-01-19,dm,1,m,40,y
23,2014,2014-01-19,dm,1,f,36,y
24,2014,2014-03-13,dm,1,f,51,y
25,2014,2014-03-13,dm,1,f,44,y
26,2014,2014-03-13,ds,1,f,146,y
27,2014,2014-01-08,na,2,null,null,null
28,2014,2014-01-08,dm,2,m,44,y
29,2014,2014-01-08,pf,2,f,7,y
30,2014,2014-01-08,dm,2,m,45,y
31,2014,2014-01-08,ot,2,null,null,null
32,2014,2014-01-08,ds,2,m,157,n
33,2014,2014-01-08,ox,2,null,null,null
34,2014,2014-02-18,na,2,m,218,n
35,2014,2014-02-18,pf,2,f,7,y
36,2014,2014-02-18,dm,2,m,52,y
37,2014,2015-03-11,pf,3,m,8,y
38,2014,2015-04-08,na,3,f,null,null
39,2014,2015-05-06,null,3,null,null,null
40,2014,2015-05-18,na,3,f,182,y
41,2014,2015-06-09,ot,3,f,29,y
42,2014,2015-07-08,na,3,f,115,y
43,2014,2015-07-08,na,3,m,190,y
44,2014,1978-01-08,dm,4,f,37,y
45,2014,1978-01-08,dm,4,m,null,null
46,2014,1978-01-08,dm,4,f,48,y
47,2014,1978-01-08,do,4,m,52,y
48,2014,1978-01-08,ol,4,m,35,y
,,,,,,,
